title,city_location,block_sector,bedroom,bathroom,sqrtFeet,price
A Decent 1560 Sq.Ft And 3 Bedroom Flat Is Available For Sale In PC Culture Housing .,7,37,3,4,1560,16.118095750958314
Offering You A 1370 Sq Ft Flat For Sale In Mirpur-2,4,38,3,3,1370,15.955576839107596
860 Sq Ft Apartment Is For Sale In Mirpur-1,4,9,2,2,860,15.536490024022143
We Have A 1133 Sq.Ft Flat For Sale In The Location Of Shapla Housing.,1,1,3,3,1133,15.645127792723562
"Buy This 350 Square Feet Apartment In Bashundhara R-a, Block C",2,39,1,1,350,15.520258832020865
Flat For Sale In Mirpur Near Gudara Ghat Wasa Pump,4,38,2,2,650,14.914123179965662
Spacious 2475 Square Feet Apartment For Sale In Bashundhara R-a,2,40,3,4,2475,16.97251102166758
A Modern Well-planned Flat Of 1256 Sq Ft Is Up For Sale Is Situated In Aftab Nagar,5,23,3,2,1256,15.687312888712007
690 Sq Ft Apartment For Sale In Mirpur 13,4,41,2,2,690,14.914123179965662
Lovely Apartment Covering An Area Of 1260 Sq Ft Is Up For Sale In Uttara Near Uttara ...,3,20,3,3,1260,15.76142084987672
At Senpara Nice Flat Up For Sale Near Mother Care International School,4,42,3,3,1275,15.789591722875162
Discover Your Ideal 2650 Sq Ft Flat For Sale In Bashundhara R-A Today!,2,43,4,4,2650,16.860033043306743
Contact Us To Buy This 2700 Sq Ft House Which Is Now Available In Bashundhara R-a,2,44,4,4,2700,17.0926553286923
1800 SQ FT flat is now for sale in Pirerbag,4,45,4,4,1800,16.012735246411598
"Buy This 600 Square Feet Apartment In Mirpur, West Shewrapara",4,34,2,1,600,14.508658238524095
In Mirpur this flat is up for sale which is 930 SQ FT,4,46,3,3,930,15.176487367510099
Evaluate This 650 Square Feet Apartment For Sale In Mirpur,4,22,2,2,650,14.690979711984754
An Apartment Which Is Up For Sale in Mirpur Near To Popular Hospital,4,10,3,3,1850,16.097893045681612
Well Structured Flat for Sale in Badda close to Sahaba Jame Mosjid,8,47,3,3,1396,16.084952535734917
A well-constructed 2415 SQ FT flat is for sale in Bashundhara R-A,2,43,3,4,2415,17.05418904934434
"Plan to move in this 1463 SQ FT flat which is up for sale in Mirpur, 2nd Colony",4,46,3,3,1463,15.582294212003887
A 3 Bedroom Apartment Is Up For Sale In Middle Monipur Near Monipur High School And C...,4,30,3,3,1200,15.501909696719672
3 Bedroom Apartment Is For Sale In Middle Monipur Near Monipur High School And Colleg...,4,30,3,3,1200,15.501909696719672
1100 SQ FT flat is now for sale in Mirpur near to Life Aid Specialized Hospital,4,30,3,2,1100,15.414898336565054
Get Comfortable In A Flat For Sale In Faydabad Nearby Faidabad Central Eidgah Maidan,0,13,2,2,600,14.873301199334291
At Bashundhara 1500 Square Ft Residential Apartment Is Available For Sale,2,11,3,3,1500,16.341239282272525
Exquisite Flat For Sale In Ashkona Nearby Bangamata Sheikh Fozilatunnessa High School,0,3,3,2,1240,15.902424238552282
"An Apartment Is Ready For Sale At Mohammadpur , Near Market Camp Masjid.",7,48,2,2,700,15.068273812173887
A Well Constructed 1065 Sq Ft Flat Is Ready For Sale In Banasree Close To Meradia Kac...,6,6,3,2,1065,15.607270193858982
"A Nice House Is Available For Sale At Faydabad , With An Affordable Deal",0,13,2,2,600,14.77102238760702
"A Nicely Build 1050 Sq Ft Apartment Is Vacant For Sale In Mirpur, Turag City",4,9,2,2,1050,15.520258832020865
"Make this 1310 SQ FT flat your next residing location, which is up for sale in Mirpur",4,33,3,3,1310,16.034714150714915
"A 1220 Sq. Ft. Residential Apartment Is For Sale At Banasree , Main Road .",6,11,3,3,1220,16.066802461833923
Get Hold Of This 650 Sq Ft Residential Flat For Sale In Mirpur-6,4,8,2,2,650,14.845130332288226
"1310 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block J",2,49,3,3,1310,16.300417291085605
"Buy This 1310 Square Feet Flat In The Prominent Location Of Bashundhara R-a, Block J",2,49,3,3,1310,16.100440817500765
Live With Your Family In This Cozy 650 Sq Ft Residential Flat For Sale In Mirpur-6,4,8,2,2,650,14.845130332288226
